layer_height,wall_thickness,infill_density,infill_pattern,nozzle_temperature,bed_temperature,print_speed,material,fan_speed,roughness,tension_strenght,elongation
0.02,8,90,grid,220,60,40,abs,0,25,18,1.2
0.02,7,90,honeycomb,225,65,40,abs,25,32,16,1.4
0.02,1,80,grid,230,70,40,abs,50,40,8,0.8
0.02,4,70,honeycomb,240,75,40,abs,75,68,10,0.5
0.02,6,90,grid,250,80,40,abs,100,92,5,0.7
0.02,10,40,honeycomb,200,60,40,pla,0,60,24,1.1
0.02,8,90,grid,250,100,40,abs,100,98,5,0.95
0.02,10,10,honeycomb,210,70,40,pla,50,21,14,1.5
0.02,9,70,grid,215,75,40,pla,75,24,27,1.4
0.02,8,40,honeycomb,220,80,40,pla,100,30,25,1.7
0.06,6,80,grid,220,60,60,abs,0,75,37,2.4
0.06,2,20,honeycomb,225,65,60,abs,25,92,12,1.4
0.06,10,50,grid,230,70,60,abs,50,118,16,1.3
0.06,6,10,honeycomb,240,75,60,abs,75,200,9,0.8
0.06,3,50,grid,250,80,60,abs,100,220,10,1
0.06,10,90,honeycomb,200,60,60,pla,0,126,27,2.2
0.06,3,40,grid,205,65,60,pla,25,145,23,1.9
0.06,8,30,honeycomb,210,70,60,pla,50,88,26,1.6
0.06,5,90,grid,215,95,60,pla,75,92,38,2.2
0.06,10,50,honeycomb,220,80,60,pla,100,74,29,2
0.1,1,40,grid,220,60,120,abs,0,120,16,1.2
0.1,2,30,honeycomb,225,65,120,abs,25,144,12,1.1
0.1,1,50,grid,230,70,120,abs,50,265,10,0.9
0.1,9,80,honeycomb,240,75,120,abs,75,312,19,0.8
0.1,2,60,grid,250,80,120,abs,100,368,8,0.4
0.1,1,50,honeycomb,200,60,120,pla,0,180,11,1.6
0.1,4,40,grid,205,65,120,pla,25,176,12,1.2
0.1,3,50,honeycomb,210,70,120,pla,50,128,18,1.8
0.1,4,90,grid,215,75,120,pla,75,138,34,2.9
0.09,8,60,honeycomb,210,70,60,pla,50,98,26,1.6
0.15,4,50,grid,220,60,60,abs,0,168,27,2.4
0.15,7,10,honeycomb,225,65,60,abs,25,154,19,1.8
0.15,6,50,grid,230,70,60,abs,50,225,18,1.4
0.15,1,50,honeycomb,240,75,60,abs,75,289,9,0.6
0.15,7,80,grid,250,80,60,abs,100,326,13,0.7
0.15,3,80,honeycomb,200,60,60,pla,0,192,33,2.8
0.15,4,50,grid,205,65,60,pla,25,212,24,1.8
0.15,10,30,honeycomb,210,70,60,pla,50,168,26,2.1
0.15,6,40,grid,215,75,60,pla,75,172,22,2.3
0.15,1,10,honeycomb,220,80,60,pla,100,163,4,0.7
0.2,4,80,grid,220,60,40,abs,0,212,35,3.3
0.2,9,90,honeycomb,225,65,40,abs,25,276,34,3.1
0.2,7,30,grid,230,70,40,abs,50,298,28,2.2
0.2,6,90,honeycomb,240,75,40,abs,75,360,28,1.6
0.2,3,80,grid,250,80,40,abs,100,357,21,1.1
0.2,5,60,honeycomb,200,60,40,pla,0,321,28,2.7
0.2,4,20,grid,205,65,40,pla,25,265,14,1.8
0.2,5,60,honeycomb,210,70,40,pla,50,278,30,3.2
0.2,7,40,grid,215,75,40,pla,75,244,29,3.2
0.2,3,60,honeycomb,220,80,40,pla,100,220,27,3.1
0.03,8,90,grid,220,60,40,abs,0,25,18,1.2
0.03,10,20,honeycomb,220,60,60,abs,0,75,37,2.4
0.02,6,10,grid,205,65,40,pla,25,55,12,1.3
0.06,10,100,honeycomb,200,60,60,pla,0,126,27,2.2
0.02,6,12,grid,205,65,40,pla,28,55,12,1.8
0.1,6,80,honeycomb,250,75,120,abs,75,312,19,0.8
0.1,4,95,grid,220,75,120,pla,100,121,14,1.5
0.15,3,10,honeycomb,225,65,70,abs,25,154,19,1.8
0.15,7,50,grid,230,70,60,abs,50,225,18,1.4
0.15,3,85,honeycomb,220,60,60,pla,0,192,33,2.8
0.06,12,50,honeycomb,230,80,65,pla,100,74,29,2.1
0.06,9,10,honeycomb,200,75,80,abs,75,200,9,0.9
0.04,2,80,grid,230,70,40,abs,50,40,12,0.8
0.02,4.5,70,honeycomb,240,85,40,abs,75,68,10,0.8
0.05,6,10,honeycomb,245,75,85,abs,75,205,5,0.5
0.15,1,50,grid,220,60,120,abs,0,120,16,1.5
0.15,7,60,grid,215,65,115,abs,46,112,14,1.4
0.15,8,55,honeycomb,230,60,130,abs,55,108,17,1.3
0.15,6,65,grid,225,75,110,abs,60,106,13,1.2
0.15,5,60,honeycomb,215,65,90,abs,55,115,15,1.4
0.15,7,70,grid,220,70,85,abs,75,106,19,1.6
0.15,4,60,grid,235,55,115,abs,65,104,16,1.5
0.15,5,65,honeycomb,225,60,120,abs,70,109,14,1.3
0.02,6,95,grid,220,70,40,abs,0,25,18,1.2
0.02,5,90,honeycomb,225,65,40,abs,25,32,14,1.4
0.02,2,80,grid,230,60,40,abs,50,45,8,0.8
0.02,5,65,honeycomb,240,75,40,abs,75,68,10,0.5
0.02,6,90,grid,250,80,40,abs,120,92,5,0.7
0.02,9,40,honeycomb,200,65,40,pla,0,65,22,1.1
0.02,9,85,grid,250,100,40,abs,100,98,5,0.95
0.02,8,10,honeycomb,210,70,40,pla,50,21,14,1.5
0.02,10,70,grid,215,75,40,pla,75,24,27,1.4
0.02,7,40,honeycomb,220,80,40,pla,100,30,26,1.7
0.06,5,80,grid,230,70,60,abs,0,75,37,2.4
0.06,2,20,honeycomb,225,65,60,abs,25,96,12,1.4
0.06,9,50,grid,230,70,60,abs,50,118,16,1.3
0.06,6,10,honeycomb,240,75,60,abs,75,210,9,0.8
0.06,3,60,grid,245,85,60,abs,100,220,10,1
0.06,10,90,honeycomb,200,60,60,pla,10,126,29,2.1
0.06,4,40,grid,205,65,60,pla,25,143,23,1.9
0.06,8,40,honeycomb,220,70,60,pla,50,88,26,1.6
0.06,5,90,grid,215,95,60,pla,75,64,38,2.2
0.06,10,50,honeycomb,220,80,60,pla,100,74,27,1.9
0.1,2,45,grid,215,60,120,abs,0,122,16,1.2
0.1,1,35,honeycomb,225,65,120,abs,25,146,12,1.1
0.1,2,55,grid,225,70,120,abs,50,264,10,0.9
0.1,8,75,honeycomb,240,75,120,abs,75,311,19,0.8
0.1,3,60,grid,245,80,120,abs,100,366,8,0.4
0.1,2,55,honeycomb,200,60,120,pla,0,178,11,1.6
0.1,5,45,grid,205,65,120,pla,25,174,12,1.2
0.1,4,50,honeycomb,210,70,120,pla,50,126,18,1.8
0.1,5,90,grid,220,75,120,pla,75,136,34,2.9
0.09,9,60,honeycomb,210,70,60,pla,50,96,26,1.6
0.15,5,55,grid,215,60,60,abs,0,170,27,2.4
0.15,8,15,honeycomb,225,65,60,abs,25,156,19,1.8
0.15,7,55,grid,230,70,60,abs,50,224,18,1.4
0.15,2,50,honeycomb,235,75,60,abs,75,288,9,0.6
0.15,6,85,grid,250,80,60,abs,100,324,13,0.7
0.15,4,80,honeycomb,205,60,60,pla,0,194,33,2.8
0.15,3,50,grid,205,65,60,pla,25,211,24,1.8
0.15,9,35,honeycomb,210,70,60,pla,50,168,26,2.1
0.15,7,40,grid,215,75,60,pla,75,174,22,2.3
0.15,2,10,honeycomb,220,80,60,pla,100,165,4,0.7
0.2,3,85,grid,220,60,40,abs,0,214,35,3.3
0.2,9,90,honeycomb,215,65,40,abs,25,278,34,3.1
0.2,8,40,grid,230,70,40,abs,50,296,28,2.2
0.2,6,90,honeycomb,240,75,40,abs,75,358,28,1.6
0.2,4,80,grid,250,80,40,abs,100,355,21,1.1
0.2,5,60,honeycomb,200,60,40,pla,0,319,28,2.7
0.2,4,20,grid,205,65,40,pla,25,263,14,1.8
0.2,5,60,honeycomb,210,70,40,pla,50,280,30,3.2
0.2,7,40,grid,215,75,40,pla,75,246,29,3.2
0.2,3,60,honeycomb,220,80,40,pla,100,222,27,3.1
0.03,8,90,grid,220,60,40,abs,0,27,18,1.2
0.03,10,20,honeycomb,220,60,60,abs,0,77,37,2.4
0.02,6,10,grid,205,65,40,pla,25,57,12,1.3
0.06,10,100,honeycomb,200,60,60,pla,0,128,27,2.2
0.02,6,12,grid,205,65,40,pla,28,53,12,1.8
0.1,6,80,honeycomb,250,75,120,abs,75,314,19,0.8
0.1,4,95,grid,220,75,120,pla,100,123,14,1.5
0.02,8,85,grid,222,60,40,abs,0,26,18,1.2
0.02,7,90,honeycomb,225,65,40,abs,25,31,16,1.4
0.02,1,80,grid,230,70,40,abs,50,41,8,0.8
0.02,4,70,honeycomb,240,75,40,abs,75,69,10,0.5
0.02,6,90,grid,250,80,40,abs,100,93,5,0.7
0.02,10,40,honeycomb,200,60,40,pla,0,61,24,1.1
0.02,8,90,grid,250,100,40,abs,100,99,5,0.95
0.02,10,10,honeycomb,210,70,40,pla,50,22,14,1.5
0.02,9,70,grid,215,75,40,pla,75,25,27,1.4
0.02,8,40,honeycomb,220,80,40,pla,100,31,25,1.7
0.06,6,80,grid,220,60,60,abs,0,76,37,2.4
0.06,2,20,honeycomb,225,65,60,abs,25,119,12,1.4
0.06,10,50,grid,230,70,60,abs,50,119,16,1.3
0.06,6,10,honeycomb,240,75,60,abs,75,201,9,0.8
0.06,3,50,grid,250,80,60,abs,100,221,10,1
0.06,10,90,honeycomb,200,60,60,pla,0,127,27,2.2
0.06,3,40,grid,205,65,60,pla,25,146,23,1.9
0.06,8,30,honeycomb,210,70,60,pla,50,89,26,1.6
0.06,5,90,grid,215,95,60,pla,75,93,38,2.2
0.06,10,50,honeycomb,220,80,60,pla,100,75,29,2
0.1,1,40,grid,220,60,120,abs,0,121,16,1.2
0.1,2,30,honeycomb,225,65,120,abs,25,145,12,1.1
0.1,1,50,grid,230,70,120,abs,50,266,10,0.9
0.1,9,80,honeycomb,240,75,120,abs,75,313,19,0.8
0.1,2,60,grid,250,80,120,abs,100,369,8,0.4
0.1,1,50,honeycomb,200,60,120,pla,0,181,11,1.6
0.1,4,40,grid,205,65,120,pla,25,177,12,1.2
0.1,3,50,honeycomb,210,70,120,pla,50,129,18,1.8
0.1,4,90,grid,215,75,120,pla,75,139,34,2.9
0.09,8,60,honeycomb,210,70,60,pla,50,99,26,1.6
0.15,4,50,grid,220,60,60,abs,0,169,27,2.4
0.15,7,10,honeycomb,225,65,60,abs,25,155,19,1.8
0.15,6,50,grid,230,70,60,abs,50,226,18,1.4
0.15,1,50,honeycomb,240,75,60,abs,75,290,9,0.6
0.15,7,80,grid,250,80,60,abs,100,327,13,0.7
0.15,3,80,honeycomb,200,60,60,pla,0,193,33,2.8
0.15,4,50,grid,205,65,60,pla,25,213,24,1.8
0.15,10,30,honeycomb,210,70,60,pla,50,169,26,2.1
0.15,6,40,grid,215,75,60,pla,75,173,22,2.3
0.15,1,10,honeycomb,220,80,60,pla,100,164,4,0.7
0.2,4,80,grid,220,60,40,abs,0,213,35,3.3
0.2,9,90,honeycomb,225,65,40,abs,25,277,34,3.1
0.2,7,30,grid,230,70,40,abs,50,299,28,2.2
0.2,6,90,honeycomb,240,75,40,abs,75,359,28,1.6
0.2,3,80,grid,250,80,40,abs,100,358,21,1.1
0.2,5,60,honeycomb,200,60,40,pla,0,322,28,2.7
0.2,4,20,grid,205,65,40,pla,25,266,14,1.8
0.2,5,60,honeycomb,210,70,40,pla,50,279,30,3.2
0.2,7,40,grid,215,75,40,pla,75,245,29,3.2
0.2,3,60,honeycomb,220,80,40,pla,100,221,27,3.1
0.03,8,90,grid,220,60,40,abs,0,30,18,1.2
0.03,10,20,honeycomb,220,60,60,abs,0,72,37,2.4
0.02,8,90,grid,220,60,40,abs,0,29,17,1.2
0.02,7,90,honeycomb,225,65,40,abs,25,36,19,1.4
0.02,1,80,grid,230,70,40,abs,50,44,9,0.8
0.02,4,70,honeycomb,240,75,40,abs,75,72,11,0.5
0.02,6,90,grid,250,80,40,abs,100,96,6,0.7
0.02,10,40,honeycomb,200,60,40,pla,0,64,25,1.1
0.02,8,90,grid,250,100,40,abs,100,94,6,0.95
0.02,10,10,honeycomb,210,70,40,pla,50,25,15,1.5
0.02,9,70,grid,215,75,40,pla,75,29,28,1.4
0.02,8,40,honeycomb,220,80,40,pla,100,34,26,1.7
0.06,6,80,grid,220,60,60,abs,0,79,38,2.4
0.06,2,20,honeycomb,225,65,60,abs,25,96,13,1.4
0.06,10,50,grid,230,70,60,abs,50,114,17,1.3
0.06,6,10,honeycomb,240,75,60,abs,75,204,8,0.8
0.06,3,50,grid,250,80,60,abs,100,224,11,1
0.06,10,90,honeycomb,200,60,60,pla,0,130,28,2.2
0.06,3,40,grid,205,65,60,pla,25,149,24,1.9
0.06,8,30,honeycomb,210,70,60,pla,50,84,25,1.6
0.06,5,90,grid,215,95,60,pla,75,96,37,2.2
0.06,10,50,honeycomb,220,80,60,pla,100,78,26,2
0.02,8,85,grid,225,60,40,abs,0,25,20,1.2
0.02,7,85,honeycomb,230,65,40,abs,25,32,18,1.4
0.02,1,75,grid,235,70,40,abs,50,40,10,0.8
0.02,4,65,honeycomb,245,75,40,abs,75,68,12,0.5
0.02,6,85,grid,245,80,40,abs,100,92,7,0.7
0.02,10,35,honeycomb,205,60,40,pla,0,60,26,1.1
0.02,8,85,grid,245,100,40,abs,100,98,7,0.95
0.02,10,15,honeycomb,215,70,40,pla,50,21,16,1.5
0.02,9,65,grid,220,75,40,pla,75,24,29,1.4
0.02,8,35,honeycomb,225,80,40,pla,100,30,27,1.7
0.06,6,75,grid,225,60,60,abs,0,75,39,2.4
0.06,2,15,honeycomb,230,65,60,abs,25,92,14,1.4
0.06,10,45,grid,235,70,60,abs,50,118,18,1.3
0.06,6,15,honeycomb,245,75,60,abs,75,200,11,0.8
0.06,3,45,grid,245,80,60,abs,100,220,12,1
0.06,10,85,honeycomb,205,60,60,pla,0,126,29,2.2
0.06,3,35,grid,210,65,60,pla,25,145,25,1.9
0.06,8,25,honeycomb,215,70,60,pla,50,88,28,1.6
0.06,5,85,grid,220,95,60,pla,75,92,40,2.2
0.06,10,45,honeycomb,225,80,60,pla,100,74,31,2
0.1,1,35,grid,225,60,120,abs,0,120,18,1.2
0.1,2,25,honeycomb,230,65,120,abs,25,144,14,1.1
0.1,1,45,grid,235,70,120,abs,50,265,12,0.9
0.1,9,75,honeycomb,245,75,120,abs,75,312,21,0.8
0.1,2,55,grid,245,80,120,abs,100,368,10,0.4
0.1,1,45,honeycomb,205,60,120,pla,0,180,13,1.6
0.1,4,35,grid,210,65,120,pla,25,176,14,1.2
0.1,3,45,honeycomb,215,70,120,pla,50,128,20,1.8
0.1,4,85,grid,220,75,120,pla,75,138,36,2.9
0.09,8,55,honeycomb,215,70,60,pla,50,98,28,1.6
0.15,4,45,grid,225,60,60,abs,0,168,29,2.4
0.15,7,15,honeycomb,230,65,60,abs,25,154,21,1.8
0.15,6,45,grid,235,70,60,abs,50,225,20,1.4
0.15,1,45,honeycomb,245,75,60,abs,75,289,11,0.6
0.15,7,75,grid,245,80,60,abs,100,326,15,0.7
0.15,3,75,honeycomb,205,60,60,pla,0,192,35,2.8
0.15,4,45,grid,210,65,60,pla,25,212,26,1.8
0.15,10,25,honeycomb,215,70,60,pla,50,168,28,2.1
0.15,6,35,grid,220,75,60,pla,75,172,24,2.3
0.15,1,15,honeycomb,225,80,60,pla,100,163,6,0.7
0.2,4,75,grid,225,60,40,abs,0,212,37,3.3
0.2,9,85,honeycomb,230,65,40,abs,25,276,36,3.1
0.2,7,35,grid,235,70,40,abs,50,298,26,2.2
0.2,6,85,honeycomb,245,75,40,abs,75,360,26,1.6
0.2,3,75,grid,245,80,40,abs,100,357,23,1.1
0.2,5,55,honeycomb,205,60,40,pla,0,321,26,2.7
0.2,4,15,grid,210,65,40,pla,25,265,16,1.8
0.2,5,55,honeycomb,215,70,40,pla,50,278,28,3.2
0.2,7,35,grid,220,75,40,pla,75,244,31,3.2
0.2,3,55,honeycomb,225,80,40,pla,100,220,29,3.1
0.03,8,85,grid,225,60,40,abs,0,25,20,1.2
0.03,10,15,honeycomb,225,60,60,abs,0,75,39,2.4
0.02,6,15,grid,210,65,40,pla,25,55,14,1.3
0.06,10,95,honeycomb,205,60,60,pla,0,126,29,2.2
0.02,6,16,grid,210,65,40,pla,28,55,14,1.8
0.1,6,75,honeycomb,245,75,120,abs,75,312,21,0.8
0.1,4,90,grid,225,75,120,pla,100,121,16,1.5
0.15,3,15,honeycomb,230,65,70,abs,25,154,21,1.8
0.15,7,45,grid,235,70,60,abs,50,225,20,1.4
0.15,3,80,honeycomb,225,60,60,pla,0,192,35,2.8
0.06,12,45,honeycomb,235,80,65,pla,100,74,31,2.1
0.06,9,15,honeycomb,205,75,80,abs,75,200,11,0.9
0.04,2,75,grid,235,70,40,abs,50,40,10,0.8
0.02,4.5,65,honeycomb,245,85,40,abs,75,68,12,0.8
0.05,6,15,honeycomb,250,75,85,abs,75,205,7,0.5
0.15,1,45,grid,225,60,120,abs,0,120,18,1.5
0.15,7,55,grid,220,65,115,abs,46,112,16,1.4
0.15,8,50,honeycomb,235,60,130,abs,55,108,19,1.3
0.15,6,60,grid,230,75,110,abs,60,106,15,1.2
0.15,5,55,honeycomb,220,65,90,abs,55,115,17,1.4
0.15,7,65,grid,225,70,85,abs,75,106,6,1.6
0.15,4,55,grid,240,55,115,abs,65,104,18,1.5
0.15,5,60,honeycomb,230,60,120,abs,70,109,16,1.3
0.02,6,90,grid,225,70,40,abs,0,25,19,1.2
0.02,5,85,honeycomb,230,65,40,abs,25,32,16,1.4
0.02,2,75,grid,235,60,40,abs,50,45,10,0.8
0.02,5,60,honeycomb,245,75,40,abs,75,68,12,0.5
0.02,6,85,grid,245,80,40,abs,120,92,7,0.7
0.02,9,35,honeycomb,205,65,40,pla,0,65,24,1.1
0.02,9,80,grid,245,100,40,abs,100,98,7,0.95
0.02,8,15,honeycomb,215,70,40,pla,50,21,16,1.5
0.02,10,65,grid,220,75,40,pla,75,24,29,1.4
0.02,7,35,honeycomb,225,80,40,pla,100,30,28,1.7
0.06,5,75,grid,235,70,60,abs,0,75,39,2.4
0.06,2,15,honeycomb,230,65,60,abs,25,96,14,1.4
0.06,9,45,grid,235,70,60,abs,50,118,18,1.3
0.06,6,15,honeycomb,245,75,60,abs,75,210,11,0.8
0.06,3,55,grid,250,85,60,abs,100,220,12,1
0.06,10,85,honeycomb,205,60,60,pla,10,126,31,2.1
0.06,4,35,grid,210,65,60,pla,25,143,25,1.9
0.06,8,35,honeycomb,225,70,60,pla,50,88,28,1.6
0.06,5,85,grid,220,95,60,pla,75,64,36,2.2
0.06,10,45,honeycomb,225,80,60,pla,100,74,29,1.9
0.1,2,40,grid,220,60,120,abs,0,122,18,1.2
0.1,1,30,honeycomb,230,65,120,abs,25,146,14,1.1
0.1,2,50,grid,230,70,120,abs,50,264,12,0.9
0.1,8,70,honeycomb,245,75,120,abs,75,311,21,0.8
0.1,3,55,grid,250,80,120,abs,100,366,10,0.4
0.1,2,50,honeycomb,205,60,120,pla,0,178,13,1.6
0.1,5,40,grid,210,65,120,pla,25,174,14,1.2
0.1,4,45,honeycomb,215,70,120,pla,50,126,16,1.8
0.1,5,85,grid,225,75,120,pla,75,136,36,2.9
0.09,9,55,honeycomb,215,70,60,pla,50,96,28,1.6
0.15,5,50,grid,220,60,60,abs,0,170,29,2.4
0.15,8,10,honeycomb,230,65,60,abs,25,156,21,1.8
0.15,7,50,grid,235,70,60,abs,50,224,20,1.4
0.15,2,45,honeycomb,240,75,60,abs,75,288,11,0.6
0.15,6,80,grid,245,80,60,abs,100,324,15,0.7
0.15,4,75,honeycomb,210,60,60,pla,0,194,35,2.8
0.15,3,45,grid,210,65,60,pla,25,211,26,1.8
0.15,9,30,honeycomb,215,70,60,pla,50,168,28,2.1
0.15,7,35,grid,225,75,60,pla,75,174,24,2.3
0.15,2,15,honeycomb,225,80,60,pla,100,165,6,0.7
0.2,3,80,grid,225,60,40,abs,0,214,31,3.3
0.2,9,85,honeycomb,220,65,40,abs,25,278,35,3.1
0.2,8,35,grid,235,70,40,abs,50,296,29,2.2
0.2,6,85,honeycomb,245,75,40,abs,75,358,27,1.6
0.2,4,75,grid,245,80,40,abs,100,355,23,1.1
0.2,5,55,honeycomb,205,60,40,pla,0,319,26,2.7
0.2,4,15,grid,210,65,40,pla,25,263,16,1.8
0.2,5,55,honeycomb,215,70,40,pla,50,280,28,3.2
0.2,7,35,grid,220,75,40,pla,75,246,27,3.2
0.2,3,55,honeycomb,225,80,40,pla,100,222,29,3.1
0.03,8,85,grid,225,60,40,abs,0,27,16,1.2
0.03,10,15,honeycomb,225,60,60,abs,0,77,35,2.4
0.02,6,15,grid,210,65,40,pla,25,57,14,1.3
0.06,10,95,honeycomb,205,60,60,pla,0,128,25,2.2
0.02,6,17,grid,210,65,40,pla,28,53,14,1.8
0.1,6,75,honeycomb,245,75,120,abs,75,314,17,0.8
0.1,4,90,grid,225,75,120,pla,100,123,13,1.5
0.02,8,80,grid,227,60,40,abs,0,26,19,1.2
0.02,7,85,honeycomb,230,65,40,abs,25,31,18,1.4
0.02,1,75,grid,235,70,40,abs,50,41,10,0.8
0.02,4,65,honeycomb,245,75,40,abs,75,69,12,0.5
0.02,6,85,grid,245,80,40,abs,100,93,7,0.7
0.02,10,35,honeycomb,205,60,40,pla,0,61,22,1.1
0.02,8,85,grid,245,100,40,abs,100,99,7,0.95
0.02,10,15,honeycomb,215,70,40,pla,50,22,16,1.5
0.02,9,65,grid,220,75,40,pla,75,25,29,1.4
0.02,8,35,honeycomb,225,80,40,pla,100,31,27,1.7
0.06,6,75,grid,225,60,60,abs,0,76,39,2.4
0.06,2,15,honeycomb,230,65,60,abs,25,119,14,1.4
0.06,10,45,grid,235,70,60,abs,50,119,18,1.3
0.06,6,15,honeycomb,245,75,60,abs,75,201,11,0.8
0.06,3,45,grid,245,80,60,abs,100,221,12,1
0.06,10,85,honeycomb,205,60,60,pla,0,127,29,2.2
0.06,3,35,grid,210,65,60,pla,25,146,25,1.9
0.06,8,25,honeycomb,215,70,60,pla,50,89,28,1.6
0.06,5,85,grid,220,95,60,pla,75,93,36,2.2
0.06,10,45,honeycomb,225,80,60,pla,100,75,27,2
0.1,1,35,grid,225,60,120,abs,0,121,14,1.2
0.1,2,25,honeycomb,230,65,120,abs,25,145,10,1.1
0.1,1,45,grid,235,70,120,abs,50,266,12,0.9
0.1,9,75,honeycomb,245,75,120,abs,75,313,17,0.8
0.1,2,55,grid,255,80,120,abs,100,369,10,0.4
0.1,1,45,honeycomb,205,60,120,pla,0,181,13,1.6
0.1,4,35,grid,210,65,120,pla,25,177,14,1.2
0.1,3,45,honeycomb,215,70,120,pla,50,129,16,1.8
0.1,4,85,grid,220,75,120,pla,75,139,32,2.9
0.09,8,55,honeycomb,215,70,60,pla,50,99,24,1.6
0.15,4,45,grid,225,60,60,abs,0,169,29,2.4
0.15,7,15,honeycomb,230,65,60,abs,25,155,17,1.8
0.15,6,45,grid,235,70,60,abs,50,226,20,1.4
0.15,1,45,honeycomb,245,75,60,abs,75,290,11,0.6
0.15,7,75,grid,245,80,60,abs,100,327,14,0.7
0.15,3,75,honeycomb,205,60,60,pla,0,193,35,2.8
0.15,4,45,grid,210,65,60,pla,25,213,26,1.8
0.15,10,25,honeycomb,215,70,60,pla,50,169,28,2.1
0.15,6,35,grid,220,75,60,pla,75,173,24,2.3
0.15,1,15,honeycomb,225,80,60,pla,100,164,6,0.7
0.2,4,75,grid,225,60,40,abs,0,213,33,3.3
0.2,9,85,honeycomb,230,65,40,abs,25,277,36,3.1
0.2,7,25,grid,235,70,40,abs,50,299,25,2.2
0.2,6,85,honeycomb,245,75,40,abs,75,359,27,1.6
0.2,3,75,grid,245,80,40,abs,100,358,22,1.1
0.2,5,55,honeycomb,205,60,40,pla,0,322,29,2.7
0.2,4,15,grid,210,65,40,pla,25,266,16,1.8
0.2,5,55,honeycomb,215,70,40,pla,50,279,32,3.2
0.2,7,35,grid,220,75,40,pla,75,245,27,3.2
0.2,3,55,honeycomb,225,80,40,pla,100,221,29,3.1
0.03,8,85,grid,225,60,40,abs,0,30,16,1.2
0.03,10,15,honeycomb,225,60,60,abs,0,72,35,2.4
0.02,8,85,grid,225,60,40,abs,0,29,19,1.2
0.02,7,85,honeycomb,230,65,40,abs,25,36,17,1.4
0.02,1,75,grid,235,70,40,abs,50,44,11,0.8
0.02,4,65,honeycomb,245,75,40,abs,75,72,9,0.5
0.02,6,85,grid,245,80,40,abs,100,96,4,0.7
0.02,10,35,honeycomb,205,60,40,pla,0,64,23,1.1
0.02,8,85,grid,245,100,40,abs,100,94,4,0.95
0.02,10,15,honeycomb,215,70,40,pla,50,25,13,1.5
0.02,9,65,grid,220,75,40,pla,75,29,26,1.4
0.02,8,35,honeycomb,225,80,40,pla,100,34,28,1.7
0.06,6,75,grid,225,60,60,abs,0,79,36,2.4
0.06,2,15,honeycomb,230,65,60,abs,25,96,14,1.4
0.06,10,45,grid,235,70,60,abs,50,114,19,1.3
0.06,6,15,honeycomb,245,75,60,abs,75,204,6,0.8
0.06,3,45,grid,245,80,60,abs,100,224,9,1
0.06,10,85,honeycomb,205,60,60,pla,0,130,26,2.2
0.06,3,35,grid,210,65,60,pla,25,149,22,1.9
0.06,8,25,honeycomb,215,70,60,pla,50,84,27,1.6
0.06,5,85,grid,220,95,60,pla,75,96,35,2.2
0.06,10,45,honeycomb,225,80,60,pla,100,78,28,2
